title,link,summary,year,month,day
General availability: Azure Confidential Ledger,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-confidential-ledger/,"Azure Confidential Ledger provides a managed and decentralized ledger for data entries; built on an open source blockchain-based framework and confidential computing infrastructure, confidential ledger is now generally available.",2022,7,19
Generally available: Premium-series hardware for Azure SQL Managed Instance,https://azure.microsoft.com/ja-jp/updates/generally-available-premiumseries-hardware-for-azure-sql-managed-instance/,Leverage new Azure SQL Managed Instance premium-series hardware based on the latest Intel CPUs that offers significantly improved performance and scalability.,2022,7,19
General availability: Citus 11 support for Azure Database for PostgreSQL - Hyperscale (Citus),https://azure.microsoft.com/ja-jp/updates/general-availability-citus-11-support-for-azure-database-for-postgresql-hyperscale-citus/,"Support of Citus 11 is now included in Azure Database for PostgreSQL – Hyperscale (Citus), a managed service running the distributed open source PostgreSQL database on Azure.",2022,7,19
General Availability: Azure Database for MySQL - Flexible Server - On demand backups,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-database-for-mysql-flexible-server-on-demand-backups/,Initiate on demand backups of your production workloads and store them based on your server’s backup retention policy.,2022,7,19
Public preview: Cross-region read replicas for Azure Database for PostgreSQL – Hyperscale (Citus),https://azure.microsoft.com/ja-jp/updates/public-preview-crossregion-read-replicas-for-azure-database-for-postgresql-hyperscale-citus/,Create read replicas of your Hyperscale (Citus) server group in different regions.,2022,7,19
Generally available: Basic tier updates for Azure Database for PostgreSQL – Hyperscale (Citus),https://azure.microsoft.com/ja-jp/updates/generally-available-basic-tier-updates-for-azure-database-for-postgresql-hyperscale-citus/,"Hyperscale (Citus) Basic tier now supports 16, 32, and 64 vCores and 1 TiB and 2 TiB storage.",2022,7,19
Generally available: vCore compute options for Azure Database for PostgreSQL – Hyperscale (Citus),https://azure.microsoft.com/ja-jp/updates/generally-available-vcore-compute-options-for-azure-database-for-postgresql-hyperscale-citus/,Run memory-intensive enterprise applications with higher concurrency and no throttling on the new 96 and 104 vCore compute options.,2022,7,19
Generally available: New extensions for Azure Database for PostgreSQL – Flexible Server,https://azure.microsoft.com/ja-jp/updates/generally-available-new-extensions-for-azure-database-for-postgresql-flexible-server/,Install the new extensions and use this functionality for development with Javascript and geographic routing logic with Azure Database for PostgreSQL – Flexible Server.,2022,7,19
Generally available: PostgreSQL 14 with Azure Database for PostgreSQL – Flexible Server,https://azure.microsoft.com/ja-jp/updates/generally-available-postgresql-14-with-azure-database-for-postgresql-flexible-server/,Azure Database for PostgreSQL - Flexible Server now supports the latest Postgres version 14.,2022,7,19
Generally available: Same-zone high availability for Azure Database for PostgreSQL – Flexible Server,https://azure.microsoft.com/ja-jp/updates/generally-available-samezone-high-availability-for-azure-database-for-postgresql-flexible-server/,Deploy high availability within the same zone for Azure Database for PostgreSQL – Flexible Server.,2022,7,19
Public preview: Azure Database for MySQL - Flexible Server data encryption with CMK,https://azure.microsoft.com/ja-jp/updates/public-preview-azure-database-for-mysql-flexible-server-data-encryption-with-cmk/,Encrypt your data with customer-managed keys (CMK) to enable an extra layer of security for data at rest.,2022,7,19
General availability: Azure Database for PostgreSQL—Hyperscale (Citus) supports PostgreSQL minor versions,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-database-for-postgresql-hyperscale-citus-supports-postgresql-minor-versions-3/,Benefit from the latest PostgreSQL minor versions for Azure Database for PostgreSQL – Hyperscale (Citus).,2022,7,6
